[2025-05-09 17:27:45,001] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:46,017] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:47,029] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:48,038] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:49,047] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:50,052] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:51,058] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:52,075] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:53,108] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:54,108] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:55,121] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:56,138] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
[2025-05-09 17:27:57,141] [app.core_obu.ERROR] ERROR - core_sub2obu: sub_type/pub_type TLV 中 ContextId 为空。 TLV: {'CommonDataType': 1, 'CommonData': 'AQAAAAAAAAACAAAAAAAAAAMAAAAAAAAA', 'Mid': 11}
